Email Text,Email Type
? j ¦ n ? ? · | ? £ ­ n ? ? ? lpaliourg @ iit . demokritos . gr ¶ « $ @ ­ ??? § a $ @ ¦ ? ?? ¨ ¬ » ? ­ n ? ? ± m · ~ ¦ a ¶ ? µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° ¨ c ? g ³ £ ¦ ³ ³ ? § ?µb ³ ? · sµb ³ ? · r ? ? ± j?? ± ?yx yx?w ² ? $ @ ?f ° ? ? ? ° t ? ? yx?w ² ? $ @ ?f ° ? ± µ ¦ ? ? ? µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ ° µ @,Phishing Email
"epe lending / day - ahead short for 8 / 15 per el paso lending agreement - we will be short a total of 50 mw on peak at palo verde tomorrow : 25 mw under stwbom , 25 mw under stsw . following are the deal numbers . you will need to purchase energy to cover this short in the real time market . remember to purchase under the same desk in which you are short megawatts . then sell , under the same desk , back to el paso at $ 0 to complete the buy - resale . 730961 - stwbom buys epe 25 mw @ $ 49 730963 - stwbom sells stsw 25 mw @ $ 49 730973 - stsw buys epe 25 mw @ $ 49 we ' re also short at spl 5 , 25 mw on peak at a day - ahead price of $ 43 . 73 . imbalance deal is 730903 . please let me know if you have questions . thanks , kate",Safe Email
"var numbers for the 26 th hi vince , i apologise that i did not send you the following mail . . . kirsteee - - - - - - - - - - - - - - - - - - - - - - forwarded by kirstee hewitt / lon / ect on 28 / 07 / 2000 20 : 21 - - - - - - - - - - - - - - - - - - - - - - - - - - - enron europe from : kirstee hewitt 27 / 07 / 2000 20 : 33 to : andreas . barschkis @ mgusa . com cc : bjorn hagelmann / hou / ect @ ect , grant masson / hou / ect @ ect subject : var numbers for the 26 th hi andreas , i have run the var model for the 26 th july and have attached a zip file of the results : the total var is $ 4 , 170 , 653 and the cu position is $ 1 , 852 , 876 . i have had trouble getting hold of you so i thought i would summarised what i wanted to talk about ( also i thought i would give your ears a rest ! ) basically it is wrt the second point in your mail yesterday ( we briefly discussed it earlier ) . the fax you sent me to explain the risk calculation suggested that you use a 5 day period of adjustment to calculate the risk ( in this case it is called capital at risk ) . the var calculation for our model is for a one day holding period which means that your risk factor will be reduced by a factor equal the sqrt ( 5 ) or 2 . 24 . since : old risk factor ( % ) = 1 . 65 * ( std of the price movement ) = 3 . 99 % new daily risk factor = 3 . 99 / 2 . 24 = 1 . 78 % which actually equates to std of approx 1 . 1 % a day . i am happy with this as a estimate of the vol as the annualized spot vol we are showing for cu is approx 19 % which equates to approx 1 . 2 % daily . using this new risk factor for the daily var the cu positions would give a var ( for the 19 th ) of approx $ 2 m which is less that the figure we estimated ( $ 3 , 100 , 568 ) . the other thing is that by taking net numbers we are disregarding the term structure of the price curve / vol curve and position curve and are hence collapsing everything into a one factor model which means that it is difficult to compare the numbers . i hope that this helps to explain our number . hopefully we can talk tomorrow , cheers kirstee",Safe Email
"will cut the years 3 . 51 % @ u ) m $ illions of amtserqaica 5 ns already re - f 8 tinanced ! free servicue ! 3 . 51 % here our economy is doing great . rates ar "" e at 40 year l { ows . and so should you . . . now is the tkime to tadyke advantage of the low ralte 4 s and save th _ o @ usian ~ ds of dollaros . acqpprova 9 l regardless of credit hisgtory ! nobotdy is turbned dsyow ! n . jwoilgn your nation and refiinnance hezar 3 e ! receptacle muong bray tip stature bracken clump gadgetry blair postposition ninety dendrite command goldwater foci ywca hydrophobia bestir angie uninominal physiochemical twice token befall slothful decrement huckster prolusion matchmake diorite sequin deliberate liaison launder lager certainty taiwan atlantes reserve spread abater stargaze schumacher ellis boxcar inshore camino contagion audible atkins lea crow plerase rmemove yoursel 4 rf , if yo 3 uu w - ould like to disconktinhue fuamrther mailing remov ? e htbere",Phishing Email
"re : waha hubco i appologize , but i forgot one of the attachments . regards , brian - - - - - original message - - - - - from : redmond , brian sent : monday , november 05 , 2001 4 : 40 pm to : miller , kent ; herber , stephen ; williams , jo ; watson , kimberly cc : martin , thomas a . ; farmer , daren j . ; higgins , ned ; owen , david ; fitzwater , loftus subject : waha hubco to all : the attached memo summarizes our discussions regarding waha and proposes a way forward with respect to either the nng or t ' w options . . i will arrange a meeting to discuss your comments after you have had a chance to review . thanks , brian >",Safe Email
doreen v - i spoke with doreen this morning re : our san francisco project . please forward info to her at doreen @ magdalinweiss . com are you up fro brunch at my house on sunday with bill and mary ? kathryn will be home on midterm break p -,Safe Email
"job announcement job announcement the department of linguistics of the university of ottawa invites applications for an eighteen month replacement position at the rank of assistant professor , effective july 1 , 1995 . requirements : ph . d . in linguistics , proof of excellence in research , ability to teach courses in both official languages ( english and french ) . preferred area of specialization is phonetics / phonology with an experimental orientation and a demonstrated interest in theoretical phonology . our department boasts an extremely well-equipped research laboratory and a dedicated electronics technologist . preference will be given to candidates who are willing to exploit and develop this resource . salary is commensurate with qualifications and experience , in keeping with the collective agreement . candidates are invited to address their applications with cv , three letters of recommendation , and copies of representative publications to : eta schneiderman , chair department of linguistics university of ottawa ottawa , ontario k1n 6n5 canada ( fax : ( 613 ) 564-9067 ) applications received before january 15 , 1995 are guaranteed consideration , although the department may continue to consider applications until a final decision is made . the university of ottawa has an employment equity policy and strongly encourages applications from women . in accordance with canadian immigration requirements , this advertisement is directed to canadian citizens and permanent residents of canada . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * annonce de poste le departement de linguistique de l ' universite d ' ottawa annonce un poste de remplacement de dix-huit mois au niveau de professeur ( e ) adjoint ( e ) a partir du 1er juillet 1995 . exigences : doctorat en linguistique , preuves d ' excellence en recherche , capacite d ' enseigner dans les deux langues officielles ( anglais et francais ) . le domaine de specialisation souhaite est la phonetique / phonologie avec une orientation experimentale et un interet marque pour la theorie phonologique . notre departement possede un laboratoire de recherche extremement bien equipe auquel se rattache un technicien specialise en electronique . la preference ira aux candidat ( e ) s pret ( e ) s a exploiter cette ressource . le salaire sera conforme a la convention collective . les interesse ( e ) s sont prie ( e ) s d ' envoyer leur c . v . , trois lettres de recommandation , des copies de leurs publications pertinentes et / ou travaux de recherche a : eta schneiderman , directrice departement de linguistique universite d ' ottawa ottawa , ontario k1n 6n5 canada ( telecopieur : ( 613 ) 564-9067 ) les candidatures recues avant le 15 janvier sont assurees d ' etre prises en consideration , mais le departement se reserve la possibilite de considerer les candidatures recues a une date ulterieure jusqu ' a ce que la decision finale soit prise . l ' universite d ' ottawa a une politique d ' equite en matiere d ' emploi et encourage fortement les femmes a presenter leur candidature . conformement aux exigences d ' immigration du canada , cette annonce s ' adresse aux citoyens / citoyennes et aux immigrant ( e ) s recu ( e ) s .",Safe Email
" Eliminate your credit card debt without filing bankruptcy!
 Are you tired of making minimum payments and barely getting by?
Are you drowning in debt? 
Are you ready for a change and some freedom?What will buying this package do for me?*It will terminate your credit card debt! 
(Major credit cards only - Not department store cards or gas cards)
*This covers cash advances!
*This covers unsecured loans as well!
*It will allow you to stop making monthly payments immediately! 
*It will empower you to take back the control of your life! 
 *Unlike bankruptcy this keeps your affairs completely private!
Only you, the creditors, and the credit bureau will know.However, you will not lose your home, or any other assets!*You will no longer be able to use those credit cards.
 The price of this package runs between $1750-$2450.
We accept all forms of payment and offer a guarantee too. This program has been used successfully for 7 years! For more information please call: 1-800-694-5144
 This works in the US ONLY!
 
To opt out of our mailing list simply reply to this email.
 Eliminate your credit card debt without filing bankruptcy!  Are you tired of making minimum payments and barely getting by?Are you drowning in debt? Are you ready for a change and some freedom?
",Phishing Email
">I'd normally never buy this but the Xbox is Eur300 on IOL's shop, a very
>large company are making a loss on it and:
>
>http://xbox-linux.sourceforge.net/articles.php?aid=1âŠ‚=Press%20Release%3A%20Xbox%20Linux%20Mandrake%209%20Released
>
>Mandrake has been released for it.isn't it Â¤250 in Smyths?don't forget to add to that the modchip, and the time to put it on.(/me thinks unless you want 3d graphics, www.mini-itx.com is the way to go :))L.
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",Safe Email
"URL: http://www.newsisfree.com/click/-2,8417753,1717/
Date: 2002-10-01T03:29:21+01:00[IMG: http://www.newsisfree.com/Images/fark/mdn.gif ([MDN])]
",Safe Email
"URL: http://www.newsisfree.com/click/-1,8390122,1717/
Date: 2002-09-30T11:09:20+01:00[IMG: http://www.newsisfree.com/Images/fark/sun.gif ([The Sun])]
",Safe Email
"software for system builders , resellers , and hardware purchasers only . get latest softwares , 99 % savings . the two most abundant things in the universe are hydrogen and stupidity . i know nothing except the fact of my ignorance .",Phishing Email
"rto orders - grid south , se trans , spp and entergy the southeast rto orders are out and have followed through with what we expected from the discussion at the ferc meeting . the spp and entergy rto proposals have been rejected because they fail to satisfy the scope and configuration requirements of order no . 2000 . the commission notes that the required discussions between spp and entergy and its neighboring rto / tos has led to no increase in the original scope and configuration . the filings by spp and entergy were brief , indicating only a lack of interest by other rtos or utilities in joining to enlarge scope ; they failed to specify any details of the talks , what changes could be made or what could be fixed to accomodate combination with other rtos . the order states that the commission favors the development of large , regional transmission organizations reflecting natural markets . the commission indicates that they favor four rtos - ne , se , mw and west . therefore the order requires the participants in spp and entergy to participate in settlement discussions as set out in the mediation order . note that these meetings will start next tuesday , july 17 before a ferc alj . the southern company rto is also found by the ferc to fail the scope characteristics of order no . 2000 . the order finds that southern ' s approach to focus on mous and seams issues with its neighbors is inadequate . the order states , "" we reiterate : the commission ' s goal is to have a single rto in the southeast , and to have that single rto operational as soon as possible . "" the commission recognizes that start - up costs in forming a larger rto may be more , but that over the longer term , large rtos will foster market development , will provide increased reliability and will result in lower wholesale electricity prices . the order therefore directs the parties to the mediation as stated above . the grid south participants are also directed to the mediation which is starting on next tuesday . it is a lengthier order with more details on other aspects of rtos , including independent board requirement , congestion managment , interconnection procedures , planning process and cbm . therefore , i am attaching a summary of the order . one of the important findings of the order is that gridsouth is not sufficiently independent ; the applicant tos are making policy decisions that should be made by an independent board . therefore , the order requires gridsouth to install an independent board and file a compliance filing within 90 days . if anyone wants copies of the orders , let me know .",Safe Email
"Not fortean, but a moment in time all the same...http://news.bbc.co.uk/1/hi/entertainment/film/2220972.stm
Betamax video recorders are finally being phased out almost 20 years after
losing the battle for dominance of the home video market to VHS. 
Betamax's manufacturer, Sony, has announced that it will make only 2,000
more machines for the Japanese market. They have not been on sale in the rest of the world since 1998.  
VHS became the dominant format by the mid-1980s
 
Betamax was launched in 1975, and won many fans who said it was better
quality than its VHS rival. Some 2.3 million Betamax machines were sold worldwide in its peak year,
1984, but it soon went downhill as VHS became the format of choice for the
film rental industry and in homes. Just 2,800 machines were sold in the 12 months to March 2002. ""With digital machines and other new recording formats taking hold in the
market, demand has continued to decline and it has become difficult to
secure parts,"" Sony said in a statement. Sony said it would continue to offer repairs and manufacture tapes for the
format. The professional Betamax format, Betacam, is still widely used in the
television and film industries and will be unaffected. But the recent rise of DVDs seems to have put the final nail in the coffin
for Betamax home players. In the 1980s, many video rental chains preferred the VHS format. Betamax lovers became so passionate about the format in the face of
competition from VHS that they set up the Betaphile Club in 1988. The picture and sound quality of Beta was superior to VHS, Betaphiles say,
although VHS tapes had a longer duration. A total of 18 million Betamax machines were sold around the world, but no
new ones will be made after the end of 2002. Sony is now planning to focus its efforts on new digital technologies. 
  See also:
 
------------------------ Yahoo! Groups Sponsor ---------------------~-->
Kwick Pick Portable Lock Pick - Opens Almost Any Lock!
Locked out? Try the Kwick Pick. For $17.95, you can open car doors,
desk drawers, padlocks, and much more! Never get locked out again!
http://us.click.yahoo.com/O2sPyA/p6kEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ ",Safe Email
"seeking opportunity in computational finance dear vince : in following up on my voicemail message today , i attach my resume below for your review and consideration . it ' s ironic that you called while i was putting the message together . i will keep it short and look forward to speaking to you at your convenience . best regards , paul e . paul rowady , jr . 2300 west alabama , suite 69 houston , texas 77098 713 - 807 - 8624 home / fax 713 - 539 - 4541 mobile epr @ pipeline . com - paul rowady 2 . doc",Safe Email
"growing company ignored by wall street investor information report . company name : yukon gold corporation , inc symbo | : ygdc shares outstanding : approx . 9 . 8 million currently trading at : $ 1 . 20 major breaking news ! yukon goid corporation , inc . acquires biliion doilar poiymeta | | ic inground resource in canada ¡ ¦ s prolific tombstone goid belt , yukon territory press reiease source : yukon goid corporation , inc . toronto , canada , march 07 , 2 oo 5 . yukon gold corporation , inc . ( ¡ § yukon goid ¡ ¨ ) , ( ygdc ) announced today that it has acquired the marg deposit , a 20 , 00 o acre , voicanogenic massive suiphide ( ¡ § vms ¡ ¨ ) property , | ocated in the central yukon territory . marg deposit mineral resource estimate : based on a 1997 ore resource study by franzen minera | engineering ltd . , the marg deposit has a drill indicated resource of 6 , 1 oo , 000 tons grading 1 . 76 % copper , 4 . 6 o % zinc , 2 . 46 % lead , 62 . 7 g . of siiver per ton and 0 . 98 g . of goid per ton over an average true width of 6 . 1 metres ( 20 ft . ) . open along strike in both directions and down dip , the company beiieves this classic base meta | deposit has the major potential for substantia | | y increasing tonnage . at the end of the 1996 driliing program , the thickest and richest intersection , 16 . 2 metre ( 53 ft . ) true width averaged 2 . 82 % copper , 2 . 46 % lead , 5 . 50 % zinc , 82 . 5 g of siiver and 1 . 84 g . of gold per ton . this indicates potentia | increased massive suiphide thicknesses to the west . based on current metal prices , the in - ground vaiue of the marg resource without any further exploration is just over 1 bi | | ion doliars . ( * ) ( * * ) a preiiminary evaiuation by yukon goid ¡ ¦ s engineers and geologists have determined this outcropping deposit with its favorabie topography , resource base and excelient expioration potential , wil | warrant proceeding to production . ( * ) dollar figure in canadian ( * * ) total in - ground resources and current vaiues based on us copper $ 1 . 5 o | b , lead $ o . 45 lb , zinc $ o . 62 | b , silver $ 7 . 29 oz . , gold $ 432 . 00 oz . as of february 23 , 2 oo 5 , exchange rate 0 . 80 . these amounts are before meta | | urgical loss and costs of recovery . resource amount value in do | | ars copper 214 , 452 , 973 | bs 321 , 679 , 496 lead 299 , 746 , 769 | bs 134 , 886 , 046 zinc 560 , 5 o 2 , o 88 | bs 347 , 511 , 295 siiver 11 , o 66 , 715 oz 8 o , 676 , 352 goid 195 , 871 oz 84 , 616 , 272 total value : us doilars 969 , 369 , 461 cdn doliars 1 , 153 , 549 , 658 deposit assessment in 135 massive suiphide intercepts in 76 diamond dril | holes totaiing 20 , 494 metres , four gently to moderately inclined , polymeta | | ic massive suiphide horizons ( a , b , c and d ) in a 10 o metre thick quartz - sericite schist and graphitic phy | | ite structural succession were outlined . the massive sulphide horizons are up to 23 metres thick and have been traced along a strike length of 1 , 20 o metres and up to 70 o metres down dip . they remain open to extension at depth and along strike . acquisition overview and work program activity with the marg deposit acquisition , yukon gold has significantly increased its resource base and has assembled one of the largest | and positions in the yukon territory ¡ ¦ s mayo mining district . mr . warren holmes , chairman and ceo of yukon gold expanded this fact by stating , ¡ § the acquisition of the marg asset constitutes a | ogical step in the mandate of the company to acquire advanced projects and provides an opportunity for early production . this is a significant mineral resource with excelient exploration potentia | to incre @ se tonnage moving forward . our pian to acquire minera | deposits and drill indicated resources that can be taken to production in the highly proiific tombstone goid beit with a centraiized miiling faciiity for these | ate stage properties is weil underway . ¡ ¨ about yukon gold yukon gold corporation , inc . is an extremely active and progressive junior exploration and deveiopment company trading on the nasdaq under the symbol "" ygdc "" . the company ¡ ¦ s main focus is its newly acquired vms deposit ( marg property ) and its mount hinton goid and silver exploration project in the central yukon territory of canada . these properties lie within the tombstone gold beit , world renowned for the discovery of major gold and base metal deposits . wil | ygdc expiode higher as more and more investors become aware of the stock ? if you think so , you may not want to wait unti | it is too | ate . remember , timing your trade is critical . good luck and successful trading . information within this pubiication contains future looking statements within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , expectations , beiiefs , pians , projections , objectives , goals , assumptions or future events or performance are not statements of historica | fact and may be future | ooking statements . future looking statements are based on expectations , estimates and projections at the time the statements are made that invoive a number of risks and uncertainties which couid cause actua | resuits or events to differ materially from those presently anticipated . future looking statements in this action may be identified through the use of words such as projects , foresee , expects , will , anticipates , estimates , believes , understands or that by statements indicating certain actions may , couid , or might occur . these future - looking statements are based on information currently avaiiabie and are subject to a number of risks , uncertainties and other factors that could cause ygdc ' s actual resuits , performance , prospects or opportunities to differ materia | | y from those expressed in , or impiied by , these future - | ooking statements . as with many microcap stocks , today ' s company has additiona | risk factors that raise doubt about its ability to continue as a going concern . these risks , uncertainties and other factors include , without | imitation , the company ' s growth expectations and ongoing funding requirements , and specificaily , the company ' s growth prospects with scaiable customers . other risks inciude the company ' s limited operating history , the company ' s history of operating | osses , consumers ' acceptance , the company ' s use of licensed technologies , risk of increased competition , the potentia | need for additiona | financing , the conditions and terms of any financing that is consummated , the | imited trading market for the company ' s securities , the possibie volatility of the company ' s stock price , the concentration of ownership , and the potential fiuctuation in the company ' s operating resuits . the publisher of this report does not represent that the information contained in this message states all materia | facts or does not omit a materia | fact necessary to make the statements therein not misieading . all information provided within this report pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the publisher of this newsietter advises all readers and subscribers to seek advice from a registered professiona | securities representative before deciding to trade in stocks featured within this report . none of the materia | within this report sha | | be construed as any kind of investment advice or solicitation . many of these companies are on the verge of bankruptcy . you can | ose a | | your money by investing in this stock . the pubiisher of this report is not a registered investment expert . subscribers should not view information herein as | ega | , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specia | | y selected to be referenced based on the favorabie performance of these companies . you would need perfect timing to achieve the results in the examples given . there can be no assurance of that happening . remember , as always , past performance is not indicative of future results and a thorough due diiigence effort , inciuding a review of a company ' s filings at sec gov or edgar - oniine com when avaiiable , shouid be completed prior to investing . ail factua | information in this report was gathered from public sources , inciuding but not limited to company websites and company press releases . the pubiisher discloses the receipt of fifteen thousand doilars from a third party , not an officer , director , or affiliate shareholder of the company for the preparation of this oniine report . be aware of an inherent confiict of interest resuiting from such compensation due to the fact that this is a paid pubiication . the publisher of this report beiieves this information to be reliabie but can make no assurance as to its accuracy or completeness . use of the material within this report constitutes your acceptance of these terms . if you wish to stop future mailings , or if you feel you have been wrongfu | | y placed in our membership , piease go here or send a biank e mai | with no thanks in the subject to ( - stockl 2 @ yahoo . com - )",Phishing Email
"review this one : new press release draft - - need approval please see revised . . . . - - - - - original message - - - - - from : denne , karen sent : thursday , october 25 , 2001 12 : 32 pm to : lay , kenneth ; frevert , mark ; whalley , greg ; mcmahon , jeffrey ; koenig , mark ; derrick jr . , james ; rogers , rex ; causey , richard ; glisan , ben ; despain , tim ; kitchen , louise ; lavorato , john cc : fleming , rosalee ; daw , nicki ; taylor , liz ; ford , sue ; westbrook , sharron ; kean , steven j . ; palmer , mark a . ( pr ) ; denne , karen ; meyer , vance ; philipp , meredith ; hiltabrand , leslie subject : new press release draft - - need approval importance : high sensitivity : confidential please review the revised attached press release , which we would like to send out as soon as possible . please call steve kean , mark palmer or me with your comments . thank you . karen x 39757 - jmstrong 21 . doc",Safe Email
"Do you like Sexy Animals doing the wild thing? We have the super hot content on the Internet!
This is the site you have heard about. Rated the number one adult site three years in a row!
- Thousands of pics from hardcore fucking, and cum shots to pet on girl.- Thousands videosSo what are you waiting for?CLICK HERE
YOU MUST BE AT LEAST 18 TO ENTER!
Â 
Â 
Â 
You have received this advertisement because you have opted in 
to receive 
free adult internet offers and specials through our affiliated websites. If you do not wish to receive 
further emails or have received the email in error you may opt-out of our database by clicking here: 
CLICK HERE
Please allow 24hours for removal.
This e-mail is sent in compliance with the Information Exchange Promotion and
Privacy Protection Act. section 50 marked as 'Advertisement' with valid 'removal' instruction. [NKIYs5]
",Phishing Email
""" linguist / - ician "" : a new slant . i have been quite happy so far to sit back and let the discourse about the relative merits of the terms "" linguist "" and "" linguistician "" unfold unhampered by any intervention from me . i am , first and foremost , a lover of language ( s ) ; a person who studies language ( s ) , their history and their "" idiosyncrasies "" . i call myself a "" linguist "" . i might add that i do not myself fully understand the theories propounded by those who call themselves "" linguist [ ician ] s "" ( in the sense of someone engaged in "" linguistics "" , that is ) , nor do i really care what precisely they choose to call themselves ( or their area of study ) . do "" physicists "" and "" physicians "" have the same argument , i wonder ? ! i doubt it . quite coincidentally of this discourse , enid wai - ching mok ( < enid @ uhunix . uhcc . hawaii . edu > ) circulated recently a questionnaire for information on the terms "" linguist "" and "" linguistics "" in various languages . i happened upon an entry in her summary supposedly explaining the two russian terms "" jazykoved "" ( linguist ) and "" jazykoznanie "" ( linguistics ) . these were offered by a certain woody mott also of < uhunix . uhcc . hawaii . edu > : they were so infelicitous in their detail and ill construed in their interpretation that i was impelled to reply to this entry and ( as a "" linguist "" ) correct certain misconceptions . allow me to summarise : notwithstanding the argument whether these words are current or not in russian , i think an explanation of their etymology may be of some use to the general discourse on the merits of "" linguist "" vs . "" linguistician "" . the word "" jazykoved "" is composed of 2 roots : "" jazyk "" , meaning "" tongue "" or "" language "" and "" ved "" , meaning "" knowledgeable person "" ( cognates for "" ved "" ( < old russian "" vedeti "" ( e = the vowel ' jat ' ) ) "" knowing person "" , pace woody mott , are sanskrit "" ve : da "" , gothic "" wait "" , and english "" wit "" ) . the "" - o - "" is here merely a link vowl . a suitable english calque on the russian term , therefore , would be "" tongue-wit "" . this , in turn , reminded me of an article some years ago in which "" saxonist "" terms were advanced in favour of "" latinate "" heresies in the english - speaking world . thus , we have foreword for "" preface "" ( the argument here goes back to 1842 ) ; bodeful for "" ominous "" ; birdlore for "" ornithology "" , etc . , etc . i ' m sure we are bounded only by time and our imaginations as to other suggestions . mindful of the fact that there are probably many among you who are staunch adherents of the "" latinate "" tradition , and not wishing in any way to alienate or belittle that corpus of english vocabulary , i should , nevertherless , like to propose two alternatives to "" linguist "" and "" linguistics "" based on the "" saxonist "" principles above . tongue-wit ( noun ) "" a person versed / skilled in [ the study of ] language ( s ) "" tongue-lore ( noun ) "" the study of language ( s ) "" i leave it to the individual "" linguist [ ician ] "" to choose whether these terms are suited to their own area of study . i think that the "" saxonist "" terms do have the advantage at least of smacking of down - to-earth prurience and a lack of self-importance . a similar term "" tonguester "" , suggested earlier , is an admirable alternative . i for one am quite happy to call myself a "" tongue-wit "" engaged in "" tongue - lore "" - - others , i hope , will follow and leave the "" linguist [ ician ] s "" to sort themselves out . tony hall . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * tony hall * * * department of russian language * * * university of birmingham * * * edgbaston tel : + 44 ( 0 ) 21 414 3227 * * * birmingham b15 2tt fax : + 44 ( 0 ) 21 414 5966 * * * united kingdom email : a . r . hall @ bham . ac . uk * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",Safe Email
"desparately seeking i am trying to get hold of a copy of a book reviewed in language last year : yolanda lastra ( 1992 ) sociolinguistica para hispanoamericanos . mexico city : el colegio de mexico none of the obvious people to get in touch with have answered my e-mail . does anyone on this list know how / where i can find this book ? even a snail-mail address for el colegio de mexico would be helpful . many thanks . david beck , university of victoria , canada djbeck @ uvvm . uvic . ca",Safe Email
empty,Phishing Email
"[Guido]
> Perhaps more useful would be if Tim could check in the pickle(s?)
> generated by one of his training runs, so that others can see how
> Tim's training data performs against their own corpora.I did that yesterday, but seems like nobody bit.  Just in case , I
uploaded a new version just now.  Since MINCOUNT went away, UNKNOWN_SPAMPROB
is much less likely, and there's almost nothing that can be pruned away (so
the file is about 5x larger now).    http://sf.net/project/showfiles.php?group_id=61702
> This could also be the starting point for a self-contained distribution
> (you've got to start with *something*, and training with python-list data
> seems just as good as anything else).The only way to know anything here is for someone to try it.",Safe Email
"FitnessHeaven.comYou are receiving this email
        as a subscriber to the DealsUWant mailing list. To remove yourself
        from this and related email lists click here:
UNSUBSCRIBE MY 
EMAIL        Under Bill(s) 1618 TITLE III by the 105 US Congress, per Section
        301, Paragraph(a)(2)of S. 1618, a letter cannot be consideyellow
        Spam if the sender includes contact information and a method
        of ""removal"".
",Phishing Email
"I recently transfered my exmh setup to a new system, and now
all my email ends up in Mail/MyIncErrors folder.  This is true for 
inbox or presort options.  I'm having difficulty finding this condition
in the documention.  Suggestions?Cheers,
Karl_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users
",Safe Email
"We were sitting here talking about Opera, and the fact that it's not free 
anymore (unless you want the scrollypollies),  and how that sucked and 
stuff, and someone said something about  nagware, and I misinterpretted it 
as snag ware, which mainly means, oh  yeh, right, I'm gonna buy this 
-eyeroll- where's someone with a key?  LOL  So who is it again who's on 
this list who's associated with Opera?  Why's the free one using the same 
LAME idea netzero, etc useD?   I know what kind of  costs are involved in 
creating software like this, and I understand everyone needs to eat, but 
if someone can get netscape for free, and opera isn't free, then, hmmm...  
I imagine this email is going to bring some bricks down on my head, but 
well, go for it, I gots my helmet.  (:
Cindy
P.S. GregB, you there?  (:-- 
""I don't take no stocks in mathematics, anyway"" --Huckleberry Finnhttp://xent.com/mailman/listinfo/fork",Safe Email
